-0.01, 0.59, 0.00, 0.00, 17.11
0.01, 0.59, 0.00, 0.00, 17.11
-0.03, 2.15, 0.00, 0.00, 17.11
-0.00, 0.00, 0.00, 0.00, 17.12
0.00, 1.56, 0.00, 0.00, 17.11
0.00, 0.98, 0.00, 0.00, 17.11
-0.01, 1.37, 0.00, 0.00, 17.11
-0.00, 1.37, 0.00, 0.00, 17.12
0.00, 0.98, 0.00, 0.00, 17.11
-0.01, 1.95, 0.00, 0.00, 17.12
0.01, 2.15, 0.00, 0.00, 17.12
0.01, 1.17, 0.00, 0.00, 17.12
0.02, 0.00, 0.00, 0.00, 17.12
0.00, 1.17, 0.00, 0.00, 17.12
-0.01, 1.17, 0.00, 0.00, 17.12
0.02, 1.37, 0.00, 0.00, 17.12
-0.01, 0.00, 0.00, 0.00, 17.12
-0.01, 1.76, 0.00, 0.00, 17.12
-0.02, 1.56, 0.00, 0.00, 17.12
-0.02, 1.95, 0.00, 0.00, 17.12
0.00, 0.00, 0.00, 0.00, 17.12
0.00, 0.78, 0.00, 0.00, 17.12
0.00, 1.17, 0.00, 0.00, 17.12
0.00, 1.56, 0.00, 0.00, 17.12
0.00, 0.78, 0.00, 0.00, 17.12
-0.01, 1.76, 0.00, 0.00, 17.12
-0.03, 1.95, 0.00, 0.00, 17.12
0.00, 1.37, 0.00, 0.00, 17.12
0.00, 1.37, 0.00, 0.00, 17.12
0.01, 0.78, 0.00, 0.00, 17.12
-0.01, 0.00, 0.00, 0.00, 17.12
-0.02, 1.17, 0.00, 0.00, 17.12
0.02, 1.17, 0.00, 0.00, 17.12
-0.00, 0.78, 0.00, 0.00, 17.12
-0.02, 1.56, 0.00, 0.00, 17.12
